"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"movie3 SoldOut Time","TALLY AVERAGE","Expression","User Specified","movie3 SoldOut Time",49.9836558864639,44.3579485299134,41.4291162288456,27.9920297167197,52.0918381584221,44.1032658651501,40.8004724522444,30.4495706688215,46.8749499282515,49.4997944312039,54.802808638338,44.2516200341611,41.9489072134682,40.2814953332913,33.2382092501371,30.6803479713958,36.7313910800416,38.1027830263431,52.9833911731694,50.8603058042183,38.9887248406975,50.9785249292227,61.180195093709,59.7280304517913,46.0457524007461,43.4534792345896,42.7934735826626,51.3894613781518,49.3747372182025
"Moviegoer.NVATime","TALLY AVERAGE","NVA Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.OtherTime","TALLY AVERAGE","Other Time","Entity","Moviegoer",0.49,0.54,0.64,0.5,0.48,0.52,0.58,0.49,0.48,0.52,0.56,0.56,0.53,0.51,0.5,0.49,0.52,0.53,0.53,0.5,0.61,0.53,0.53,0.62,0.52,0.5,0.53,0.51,0.5,0.55
"Moviegoer.TotalTime","TALLY AVERAGE","Total Time","Entity","Moviegoer",0.597661415037993,0.60596165454024,0.850300369642426,0.628484560651833,0.561771791437837,0.770546836049721,0.804492904798866,0.728134779630741,0.580100020476857,0.608447342016135,0.723668014603526,0.668879286244123,0.622963546124998,0.596509727865977,0.61006314173216,0.597530947846544,0.697930519697153,0.622067212022965,0.742681681540496,0.60258281540972,0.771815545388464,0.873926788686334,0.603526223210166,0.842118042054771,0.62469208552356,0.733744748273336,0.64894818744162,0.592112731554509,0.650947785298736,0.727009635669768
"Moviegoer.TranTime","TALLY AVERAGE","Transfer Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.VATime","TALLY AVERAGE","VA Time","Entity","Moviegoer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moviegoer.WaitTime","TALLY AVERAGE","Wait Time","Entity","Moviegoer",0.107661415037993,6.59616545402399E-02,0.210300369642426,0.128484560651833,8.17717914378365E-02,0.250546836049721,0.224492904798866,0.238134779630741,0.100100020476857,8.84473420161355E-02,0.163668014603526,0.108879286244122,9.29635461249982E-02,8.65097278659772E-02,0.110063141732161,0.107530947846543,0.177930519697153,9.20672120229644E-02,0.212681681540495,0.10258281540972,0.161815545388464,0.343926788686334,7.35262232101654E-02,0.222118042054771,0.104692085523561,0.233744748273336,0.11894818744162,8.21127315545093E-02,0.150947785298736,0.177009635669768
"Moviegoer.WIP","DSTAT AVERAGE","WIP","Entity","Moviegoer",0.498051179198327,0.5049680454502,0.708583641368688,0.523737133876527,0.46814315953153,0.642122363374768,0.670410753999056,0.606778983025617,0.483416683730714,0.507039451680113,0.603056678836272,0.557399405203435,0.519136288437498,0.497091439888314,0.508385951443467,0.497942456538786,0.581608766414294,0.51838934335247,0.618901401283745,0.502152346174767,0.643179621157053,0.728272323905278,0.502938519341805,0.701765035045642,0.520576737936301,0.611453956894447,0.54079015620135,0.493427276295424,0.542456487748947,0.60584136305814
"numLeftTickets1 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets1",12.0892153217286,8.7146578541124,15.7451862187852,10.6084005559016,8.94733728379739,9.25912595650985,7.78286100360249,8.4205228749995,10.2711368220124,9.96808550232287,9.69109535851463,9.22777563962975,11.3860190984537,8.55967779430408,9.31596258077454,15.3357739244913,10.0240135857368,16.562116873148,10.2941962070614,7.66928379654399,6.5712587790854,10.1682061659966,10.9172849973369,8.12844041904963,13.3952994411622,9.14095552423162,6.54755956596239,6.33123856801025,11.8154736320872,11.9480755881151
"numLeftTickets2 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets2",8.12906098756517,8.88371011094955,11.511005612143,12.3802029829085,11.7741169357531,6.4656638908816,7.99437274181223,10.2874749854459,9.08228372584643,11.9220250281136,13.5087433482071,6.82992248557002,9.32052332475194,11.0242057309985,8.37065263938313,10.3536359261873,6.31899915742905,12.699884141594,9.65936376507792,10.3409924377056,17.1047628501717,10.7930906808314,9.38363752357941,8.1155327286689,11.1419070961183,7.65223094587512,12.2355143394886,11.1775804027867,8.51439292700509,11.1011057659334
"numLeftTickets3 Value","DSTAT AVERAGE","Variable","User Specified","numLeftTickets3",10.7906508389893,9.66086196470521,11.0003971135555,6.34211407397092,13.371039182046,11.4399035274152,7.7505530557721,7.85314936568079,13.1255962469986,9.96498020922834,7.98275238227785,10.5371785524274,7.61982059763962,10.853701370598,8.02418960575465,7.21665722528556,7.2626962172225,7.1305984914395,11.0497671740362,11.2038129076691,13.2021914754741,8.41344209435568,11.7435394271674,6.53252018728106,10.5119789516839,10.2846264503132,9.02731052752976,9.44945745420925,12.4308787332667,11.6641463513825
"Seize Counter for Movie Cust.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Seize Counter for Movie Cust.Queue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
